epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,51164.5,0.45404,0.23999,0.00244,0.95609,0.96802,0.97774,0.84022,0.61407,0.25666,0.01305,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,51428.8,0.45382,0.2412,0.00243,0.95588,0.96772,0.97775,0.83921,0.61524,0.25723,0.01301,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,51693.1,0.453,0.24354,0.00242,0.95505,0.96746,0.97762,0.8409,0.61132,0.25663,0.01291,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,51957.5,0.45359,0.23345,0.00242,0.9561,0.96789,0.9773,0.83896,0.61309,0.25608,0.01286,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,52221.3,0.44714,0.23945,0.00241,0.95619,0.96947,0.9776,0.83962,0.61028,0.25615,0.0128,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,52485.2,0.44792,0.2399,0.0024,0.95603,0.97007,0.97765,0.8413,0.60971,0.25668,0.01272,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,52749.2,0.44524,0.23509,0.00237,0.95648,0.96903,0.97768,0.84195,0.61195,0.25722,0.01273,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,53012.7,0.44362,0.23366,0.00235,0.9565,0.9697,0.97739,0.84847,0.60938,0.25722,0.01264,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,53277.4,0.43848,0.23303,0.00234,0.95579,0.96997,0.977,0.849,0.60956,0.2571,0.01264,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,53541.4,0.43857,0.22755,0.00233,0.95681,0.9685,0.9766,0.84795,0.61041,0.25786,0.01263,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,53805.5,0.43626,0.22598,0.00234,0.95674,0.96895,0.9766,0.84576,0.60888,0.25763,0.01253,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,54069.6,0.43194,0.23261,0.00231,0.95658,0.96796,0.97666,0.84681,0.60958,0.25701,0.01252,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,54333.5,0.43315,0.22337,0.00231,0.95862,0.96862,0.97668,0.84652,0.60944,0.25576,0.01249,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,54597.6,0.42692,0.23296,0.00228,0.95926,0.96917,0.97686,0.84688,0.60926,0.25628,0.01246,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
